dataset_id,dataset_label,variant,display_name,threads,expected_count,runtime_mean_s,runtime_stddev_s,throughput_structures_per_sec,ms_per_structure,peak_rss_mean_mib,peak_rss_stddev_mib,throughput_per_mib,cpu_utilization_proxy,speedup_vs_1_thread,parallel_efficiency
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,zsasa_f64,zsasa f64,1,4370,29.635786322106668,0.14270482493664707,147.45686017921582,6.781644467301297,9.421875,0.0,15.650479355671331,0.9597942817346072,1.0,1.0
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,zsasa_f64,zsasa f64,4,4370,7.764866268053333,0.06039222750696089,562.7914054333826,1.7768572695774216,23.177083333333332,0.24222949904653093,24.28223591982235,3.853691277308826,3.8166512209020205,0.9541628052255051
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,zsasa_f64,zsasa f64,8,4370,5.019145617173334,0.02295634582739482,870.6661119868211,1.1485459078199847,38.328125,0.0,22.71611543707972,7.792948738692847,5.904548021222157,0.7380685026527696
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,zsasa_f64,zsasa f64,10,4370,4.41089461528,0.08152550484906693,990.7287253841125,1.0093580355331808,45.515625,0.3788861141556919,21.766782844003846,9.48876745812024,6.718769979097633,0.6718769979097633
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,zsasa_f32,zsasa f32,1,4370,31.954601853153335,5.710690677170033,136.7565153864923,7.312265870286804,10.015625,0.0,13.654316668854147,0.8694924320347368,1.0,1.0
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,zsasa_f32,zsasa f32,4,4370,7.652334915766666,0.02685790664197578,571.0675301202733,1.7511063880472921,22.630208333333332,0.15335866525349434,25.234744714175484,3.848203392926952,4.175797610127456,1.043949402531864
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,zsasa_f32,zsasa f32,8,4370,4.900539493766667,0.01470940079706166,891.7385535936407,1.121404918482075,36.234375,0.08118988160479113,24.610292121601123,7.775733615003423,6.5206293906617,0.8150786738327125
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,zsasa_f32,zsasa f32,10,4370,4.245832798786666,0.02306745262151444,1029.2444867939257,0.9715864528115941,43.46875,0.0,23.67780271560433,9.553958718831039,7.526109332964081,0.7526109332964082
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,zsasa_bitmask_f64,zsasa bitmask f64,1,4370,10.243737215080001,0.011634291325651556,426.6021187625586,2.344104625876431,11.734375,0.027063293868263706,36.3549075909504,0.8938407205384196,1.0,1.0
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,zsasa_bitmask_f64,zsasa bitmask f64,4,4370,2.609812028026667,0.00800951801062607,1674.45009566618,0.5972109903951184,25.921875,0.0,64.59602539037705,3.5772248830218327,3.925086215050324,0.981271553762581
