context,benchmark_kind,dataset_id,dataset_label,structure_id,target_variant,target_display_name,comparator_variant,comparator_display_name,metric,ratio,target_value,comparator_value,interpretation
batch:UP000000625_83333_ECOLI_v6_pdb:t10,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,,zsasa_f64,zsasa f64,freesasa_batch,FreeSASA batch,runtime_speedup,2.9431489524480328,4.41089461528,12.98191986632,higher means target is faster
batch:UP000000625_83333_ECOLI_v6_pdb:t10,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,,zsasa_f64,zsasa f64,freesasa_batch,FreeSASA batch,rss_reduction,4.670442842430484,45.515625,212.578125,higher means target uses less memory
batch:UP000000625_83333_ECOLI_v6_pdb:t10,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,,zsasa_f64,zsasa f64,rustsasa,RustSASA,runtime_speedup,1.3079436618113602,4.41089461528,5.769201654973334,higher means target is faster
batch:UP000000625_83333_ECOLI_v6_pdb:t10,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,,zsasa_f64,zsasa f64,rustsasa,RustSASA,rss_reduction,3.74562306900103,45.515625,170.484375,higher means target uses less memory
batch:UP000000625_83333_ECOLI_v6_pdb:t10,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,,zsasa_f64,zsasa f64,lahuta_bitmask,Lahuta bitmask,runtime_speedup,0.46120513031969806,4.41089461528,2.034327225866667,higher means target is faster
batch:UP000000625_83333_ECOLI_v6_pdb:t10,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,,zsasa_f64,zsasa f64,lahuta_bitmask,Lahuta bitmask,rss_reduction,3.9708204600068657,45.515625,180.734375,higher means target uses less memory
batch:UP000000625_83333_ECOLI_v6_pdb:t10,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,,zsasa_f32,zsasa f32,freesasa_batch,FreeSASA batch,runtime_speedup,3.057567379956613,4.245832798786666,12.98191986632,higher means target is faster
batch:UP000000625_83333_ECOLI_v6_pdb:t10,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,,zsasa_f32,zsasa f32,freesasa_batch,FreeSASA batch,rss_reduction,4.890366642703091,43.46875,212.578125,higher means target uses less memory
batch:UP000000625_83333_ECOLI_v6_pdb:t10,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,,zsasa_f32,zsasa f32,rustsasa,RustSASA,runtime_speedup,1.3587915323990152,4.245832798786666,5.769201654973334,higher means target is faster
batch:UP000000625_83333_ECOLI_v6_pdb:t10,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,,zsasa_f32,zsasa f32,rustsasa,RustSASA,rss_reduction,3.921998562185478,43.46875,170.484375,higher means target uses less memory
batch:UP000000625_83333_ECOLI_v6_pdb:t10,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,,zsasa_f32,zsasa f32,lahuta_bitmask,Lahuta bitmask,runtime_speedup,0.47913503010481656,4.245832798786666,2.034327225866667,higher means target is faster
batch:UP000000625_83333_ECOLI_v6_pdb:t10,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,,zsasa_f32,zsasa f32,lahuta_bitmask,Lahuta bitmask,rss_reduction,4.1578001437814525,43.46875,180.734375,higher means target uses less memory
batch:UP000000625_83333_ECOLI_v6_pdb:t10,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,,zsasa_bitmask_f64,zsasa bitmask f64,freesasa_batch,FreeSASA batch,runtime_speedup,8.630170683673521,1.5042483332199998,12.98191986632,higher means target is faster
batch:UP000000625_83333_ECOLI_v6_pdb:t10,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,,zsasa_bitmask_f64,zsasa bitmask f64,freesasa_batch,FreeSASA batch,rss_reduction,4.381642512077295,48.515625,212.578125,higher means target uses less memory
batch:UP000000625_83333_ECOLI_v6_pdb:t10,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,,zsasa_bitmask_f64,zsasa bitmask f64,rustsasa,RustSASA,runtime_speedup,3.835272094085528,1.5042483332199998,5.769201654973334,higher means target is faster
