dataset_id,name,role,expected_count,path_or_uri,redistribution_status,notes
5vz0_A_protein,5vz0_A_protein,trajectory-throughput,10001,"{'xtc': '$HOME/freesasa-zig/benchmarks/md_data/5vz0_A_protein/5vz0_A_prod_R1_fit.xtc', 'pdb': '$HOME/freesasa-zig/benchmarks/md_data/5vz0_A_protein/5vz0_A.pdb'}",,atoms=17910; frames=10001
5wvo_C_analysis,5wvo_C_analysis,trajectory-throughput,1001,"{'xtc': '$HOME/freesasa-zig/benchmarks/md_data/5wvo_C_analysis/5wvo_C_R1.xtc', 'pdb': '$HOME/freesasa-zig/benchmarks/md_data/5wvo_C_analysis/5wvo_C.pdb'}",,atoms=3858; frames=1001
6sup_A_analysis,6sup_A_analysis,trajectory-throughput,1001,"{'xtc': '$HOME/freesasa-zig/benchmarks/md_data/6sup_A_analysis/6sup_A_R1.xtc', 'pdb': '$HOME/freesasa-zig/benchmarks/md_data/6sup_A_analysis/6sup_A.pdb'}",,atoms=33377; frames=1001
UP000000625_83333_ECOLI_v6_cif,UP000000625_83333_ECOLI_v6_cif,"batch-throughput,thread-overcommit,mmcif-native",4370,/Users/nagaet/pdb/afdb/UP000000625_83333_ECOLI_v6/cif,,not_adopted
UP000000625_83333_ECOLI_v6_pdb,UP000000625_83333_ECOLI_v6_pdb,"batch-throughput,thread-scaling,thread-overcommit",4370,/Users/nagaet/pdb/afdb/UP000000625_83333_ECOLI_v6/pdb,,ready
UP000005640_9606_HUMAN_v6_cif,UP000005640_9606_HUMAN_v6_cif,"batch-throughput,parser-comparison,input-io-comparison,mmcif-native",23586,/Users/nagaet/pdb/afdb/UP000005640_9606_HUMAN_v6/cif,,planning
UP000005640_9606_HUMAN_v6_pdb,UP000005640_9606_HUMAN_v6_pdb,"batch-throughput,thread-overcommit",23586,/Users/nagaet/pdb/afdb/UP000005640_9606_HUMAN_v6/pdb,,ready
single_file_large_structure_mmcif_subset,single_file_large_structure_mmcif_subset,"single-file-throughput,parser-stress,mmcif",8,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/datasets/single-file-large-structure-mmcif,,ready
single_file_large_structure_subset,single_file_large_structure_subset,"single-file-throughput,parser-stress",8,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/datasets/single-file-large-structure/pdb,,ready
swissprot_500k_pdb,swissprot_500k_pdb,"batch-throughput,version-refresh,io-wait-stress",500000,/Users/nagaet/pdb/afdb/swissprot_pdb_v6,,planning
