dataset_id,dataset_label,frame_count,atom_count,variant,display_name,bitmask_variant,threads,runtime_mean_s,runtime_median_s,runtime_stddev_s,speedup_vs_t10_median,frames_per_sec,peak_rss_mean_mib,manifest_id
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,cycle,10,38.23442441459334,38.22886933126,0.11525936134537455,1.0,261.57056508957965,97.125,trajectory-full-rerun
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,cycle,20,36.517657233533335,36.521411372200006,0.05023768695896289,1.046752244639694,273.86751389999654,165.6875,trajectory-zsasa-t20
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,cycle,40,35.80386837272,35.79548330272,0.06038763984289869,1.067980253485084,279.32735915262305,302.8645833333333,trajectory-zsasa-t40
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,cycle_corrected,10,38.12212788132667,38.12716052066,0.011589956193060203,1.0,262.341074746218,97.14583333333333,trajectory-full-rerun
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,cycle_corrected,20,36.47762835242666,36.47011381076,0.024224327815857885,1.0454357427700463,274.16804358484796,172.79166666666666,trajectory-zsasa-t20
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,cycle_corrected,40,35.99997811574,35.861223532740006,0.3184504645146652,1.0631862709829538,277.80572443257506,303.65625,trajectory-zsasa-t40
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,per_frame,10,58.18254242113334,58.217430740800005,0.08367299794668728,1.0,171.89004783619404,112.46875,trajectory-full-rerun
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,per_frame,20,56.290466505206666,56.25121113054,0.08440554213209568,1.034954262685955,177.66774057690466,209.828125,trajectory-zsasa-t20
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,per_frame,40,55.83302814293334,55.6644472676,0.5553157869301834,1.045863807124983,179.12336716535057,407.546875,trajectory-zsasa-t40
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,single,10,37.92197984283334,37.9334331765,0.14579400786814126,1.0,263.7256820832901,93.25,trajectory-full-rerun
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,single,20,36.13627230939333,36.11365862906,0.09804716689931058,1.050390201838361,276.7579321511899,154.08854166666666,trajectory-zsasa-t20
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,single,40,35.303364348533336,35.2739305012,0.05276181293770189,1.0753956998131957,283.287448223486,319.109375,trajectory-zsasa-t40
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,single_corrected,10,37.717521727893335,37.761794200560004,0.11920568632663334,1.0,265.1552790809141,93.015625,trajectory-full-rerun
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,single_corrected,20,36.03505001619334,36.022552960860004,0.08536728614206307,1.0482820093731213,277.53534393613376,159.30208333333334,trajectory-zsasa-t20
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,single_corrected,40,35.28047388479334,35.28904139846,0.04985650541347914,1.0700714075562254,283.4712490727244,299.8333333333333,trajectory-zsasa-t40
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,cycle,10,39.32146725893333,39.3442046476,0.07312619136670422,1.0,254.33944095074176,101.859375,trajectory-full-rerun
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,cycle,20,37.45795206181334,37.49449128348,0.1251277766251683,1.0493329366742197,266.99270647515084,166.95833333333334,trajectory-zsasa-t20
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,cycle,40,36.93823444138667,36.99013120472,0.10735371583612885,1.0636405810471854,270.74926972672495,328.546875,trajectory-zsasa-t40
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,cycle_corrected,10,39.321460843286665,39.32210159262,0.05605387170880457,1.0,254.33948244848756,101.34375,trajectory-full-rerun
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,cycle_corrected,20,37.60385633532667,37.605450029660005,0.09220237205277985,1.0456490099601532,265.9567654662225,168.11458333333334,trajectory-zsasa-t20
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,cycle_corrected,40,36.88614712961999,36.86796593462,0.04840462906401338,1.066565529065315,271.1315975847497,313.0520833333333,trajectory-zsasa-t40
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,per_frame,10,59.50457064941333,59.51571296908,0.025962569884659604,1.0,168.07112278691153,118.0625,trajectory-full-rerun
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,per_frame,20,56.668189658293336,56.65793586696,0.09697578136730674,1.0504391319307929,176.48349206681183,180.61458333333334,trajectory-zsasa-t20
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,per_frame,40,56.70862618953999,56.67881218954,0.10223201808217852,1.050052227101251,176.3576491268396,401.0520833333333,trajectory-zsasa-t40
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,single,10,38.96463275937333,38.96674457904,0.03546520848475378,1.0,256.66865800484567,94.234375,trajectory-full-rerun
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,single,20,36.48921385384,36.45841211784,0.06795472081123903,1.0687998274058845,274.0809939084925,141.22916666666666,trajectory-zsasa-t20
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,single,40,36.25307953180666,36.334522879139996,0.44181761435166306,1.0724440969998585,275.86621961937374,265.4270833333333,trajectory-zsasa-t40
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,single_corrected,10,38.94200915997334,38.94526870164,0.0791275555152432,1.0,256.81777123815067,95.203125,trajectory-full-rerun
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,single_corrected,20,36.48096180165333,36.470368843319996,0.018810366690642722,1.0678605656266433,274.1429914697795,140.703125,trajectory-zsasa-t20
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,single_corrected,40,36.496001173033335,36.4803338947,0.20906479473974965,1.067568866394014,274.0300218805801,306.015625,trajectory-zsasa-t40
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_f32,zsasa CLI f32,,10,81.76553627752668,81.73337211086,0.14320320959049967,1.0,122.31314628763442,90.22395833333333,trajectory-full-rerun
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_f32,zsasa CLI f32,,20,78.25132516506,78.25998872006,0.01545965898780569,1.0443826206418771,127.80614231010553,138.578125,trajectory-zsasa-t20
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_f32,zsasa CLI f32,,40,76.82496857868001,76.80689764868,0.0416690418359457,1.0641410421849613,130.17903144024734,246.890625,trajectory-zsasa-t40
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_f64,zsasa CLI f64,,10,83.99088314058666,82.41195634892,2.9517693845397726,1.0,119.07244722334926,85.671875,trajectory-full-rerun
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_f64,zsasa CLI f64,,20,79.43899456476,79.50707471776,0.35471690052400384,1.036536140229935,125.89534969311599,145.046875,trajectory-zsasa-t20
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_f64,zsasa CLI f64,,40,78.90160665780667,78.90526126914,0.054799100094249466,1.0444418410556797,126.75280547041285,253.24479166666666,trajectory-zsasa-t40
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,cycle,10,0.8824621283333333,0.88258492,0.0012619260721050051,1.0,1134.3262989546577,24.296875,trajectory-full-rerun
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,cycle,20,0.8348744551266667,0.83572034346,0.0018368190574535076,1.0560768645956062,1198.9826660202807,33.770833333333336,trajectory-zsasa-t20
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,cycle,40,0.8055253505133333,0.80648273918,0.0019678239720364358,1.0943630621250215,1242.6672846014064,46.234375,trajectory-zsasa-t40
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,cycle_corrected,10,0.8802166684066667,0.88130672374,0.003364644962294867,1.0,1137.2200004028218,24.338541666666668,trajectory-full-rerun
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,cycle_corrected,20,0.8360963487533334,0.83699211242,0.0029212001827239585,1.0529450763781667,1197.2304405976024,32.890625,trajectory-zsasa-t20
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,cycle_corrected,40,0.7984321610133334,0.7983003416800001,0.0021852958421743306,1.103978888303261,1253.7070134168655,45.5625,trajectory-zsasa-t40
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,per_frame,10,2.828635480546667,2.8375607448799998,0.022009940880629596,1.0,353.8808753846731,37.546875,trajectory-full-rerun
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,per_frame,20,2.7306700610333334,2.7250893247000003,0.016357608611569496,1.0412725627598947,366.57669276280274,66.421875,trajectory-zsasa-t20
