run_id,benchmark_kind,dataset_id,dataset_label,dataset_role,variant,display_name,tool_id,algorithm,precision,mode,threads,n_points,n_slices,source_kind,source_path,manifest_id,run_set,run_variant,status,expected_count,structure_id,structure_role,n_atoms,expected_chains,frame_count,runtime_mean_s,runtime_stddev_s,runtime_min_s,runtime_median_s,runtime_max_s,runtime_run_1_s,runtime_run_2_s,runtime_run_3_s,peak_rss_mean_mib,peak_rss_stddev_mib,peak_rss_min_mib,peak_rss_median_mib,peak_rss_max_mib,user_time_mean_s,system_time_mean_s,parse_time_ms,sasa_time_ms,total_time_ms,item_count,item_unit,items_per_sec,ms_per_item,atoms_per_sec,atom_frames_per_sec,items_per_sec_per_mib,cpu_utilization_proxy
nix_full_20260524_batch_UP000000625_83333_ECOLI_v6_pdb_freesasa_batch_1t_128p_c8dd4177c87d,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,"batch-throughput,thread-scaling,thread-overcommit",freesasa_batch,FreeSASA batch,freesasa_batch,sr,f64,standard,1,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/nix_full_20260524/batch/ecoli/hyperfine/freesasa_batch_1t_128p.json,batch-ecoli-full-rerun,nix_full_20260524,,imported,4370,,,,,,41.61993562903333,0.247289531789775,41.342198059699996,41.701371892699996,41.816236934699994,41.342198059699996,41.816236934699994,41.701371892699996,86.375,0.0,86.375,86.375,86.375,37.36623484,0.8743003933333333,,,,4370,structures,104.99775970224148,9.524012729755912,,,1.2156035855541705,0.9188033247859569
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_freesasa_batch_1t_128p_10c2fad71a61,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,"batch-throughput,thread-scaling,thread-overcommit",freesasa_batch,FreeSASA batch,freesasa_batch,sr,f64,standard,1,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/freesasa_batch_1t_128p.json,batch-ecoli-full-rerun,v0_6_0_full,,imported,4370,,,,,,41.20743643786667,0.04566922730632577,41.1648579662,41.2017815902,41.2556697572,41.2017815902,41.1648579662,41.2556697572,86.1875,0.0,86.1875,86.1875,86.1875,37.18658758666667,0.8193366533333332,,,,4370,structures,106.04881977041126,9.429619322166285,,,1.2304431590475562,0.9223074164612504
nix_full_20260524_batch_UP000000625_83333_ECOLI_v6_pdb_freesasa_batch_4t_128p_db66389696e7,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,"batch-throughput,thread-scaling,thread-overcommit",freesasa_batch,FreeSASA batch,freesasa_batch,sr,f64,standard,4,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/nix_full_20260524/batch/ecoli/hyperfine/freesasa_batch_4t_128p.json,batch-ecoli-full-rerun,nix_full_20260524,,imported,4370,,,,,,11.932542112006667,0.15428565795037297,11.75447593134,12.016738806340001,12.026411598340001,12.016738806340001,12.026411598340001,11.75447593134,179.546875,0.0,179.546875,179.546875,179.546875,42.24109393333334,1.1044682133333332,,,,4370,structures,366.225399330697,2.7305588356994663,,,2.03972026430812,3.6325505277749532
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_freesasa_batch_4t_128p_1926e09afd67,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,"batch-throughput,thread-scaling,thread-overcommit",freesasa_batch,FreeSASA batch,freesasa_batch,sr,f64,standard,4,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/freesasa_batch_4t_128p.json,batch-ecoli-full-rerun,v0_6_0_full,,imported,4370,,,,,,11.83969347993333,0.15152085697214368,11.6656950906,11.910818466599999,11.9425668826,11.9425668826,11.910818466599999,11.6656950906,170.91145833333334,11.592110873572954,164.21875,164.21875,184.296875,41.83490252666667,1.0912008466666667,,,,4370,structures,369.0973932227684,2.709312009138062,,,2.15958249272502,3.625609349269661
nix_full_20260524_batch_UP000000625_83333_ECOLI_v6_pdb_freesasa_batch_8t_128p_0267e2026862,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,"batch-throughput,thread-scaling,thread-overcommit",freesasa_batch,FreeSASA batch,freesasa_batch,sr,f64,standard,8,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/nix_full_20260524/batch/ecoli/hyperfine/freesasa_batch_8t_128p.json,batch-ecoli-full-rerun,nix_full_20260524,,imported,4370,,,,,,12.420266490000001,0.3499501609510876,12.107798865,12.354603699,12.798396906,12.798396906,12.107798865,12.354603699,214.703125,0.18944305707784595,214.59375,214.59375,214.921875,71.47049998666665,16.694187926666668,,,,4370,structures,351.8443024969265,2.842166244851259,,,1.638747933906069,7.098453804056286
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_freesasa_batch_8t_128p_d3fdff0d69bc,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,"batch-throughput,thread-scaling,thread-overcommit",freesasa_batch,FreeSASA batch,freesasa_batch,sr,f64,standard,8,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/freesasa_batch_8t_128p.json,batch-ecoli-full-rerun,v0_6_0_full,,imported,4370,,,,,,12.341416519119997,0.3960166058549195,11.95140554712,12.32966675512,12.743177255119999,12.743177255119999,12.32966675512,11.95140554712,223.15625,0.0,223.15625,223.15625,223.15625,70.64599932,16.969910933333335,,,,4370,structures,354.09225458275046,2.824122773254004,,,1.5867458544528799,7.0993398624537125
nix_full_20260524_batch_UP000000625_83333_ECOLI_v6_pdb_freesasa_batch_10t_128p_f34eb551261c,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,"batch-throughput,thread-scaling,thread-overcommit",freesasa_batch,FreeSASA batch,freesasa_batch,sr,f64,standard,10,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/nix_full_20260524/batch/ecoli/hyperfine/freesasa_batch_10t_128p.json,batch-ecoli-full-rerun,nix_full_20260524,,imported,4370,,,,,,12.98191986632,0.03531323411497062,12.955278963320001,12.96850604732,13.02197458832,12.96850604732,13.02197458832,12.955278963320001,212.578125,0.0,212.578125,212.578125,212.578125,72.47006729333333,25.823399333333327,,,,4370,structures,336.6220131536499,2.9706910449244854,,,1.5835214143207346,7.571566273620053
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_freesasa_batch_10t_128p_62ae44dd3dfb,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,"batch-throughput,thread-scaling,thread-overcommit",freesasa_batch,FreeSASA batch,freesasa_batch,sr,f64,standard,10,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/freesasa_batch_10t_128p.json,batch-ecoli-full-rerun,v0_6_0_full,,imported,4370,,,,,,13.008418403633334,0.06227552664513367,12.9605728483,12.9858509313,13.0788314313,12.9858509313,13.0788314313,12.9605728483,212.1875,7.280026050562937,207.984375,207.984375,220.59375,72.19847652666665,26.543156006666663,,,,4370,structures,335.93630404595774,2.9767547834401222,,,1.5832049675214503,7.590594757142356
nix_full_20260524_batch_UP000000625_83333_ECOLI_v6_pdb_lahuta_bitmask_1t_128p_e7d9c47bd211,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,"batch-throughput,thread-scaling,thread-overcommit",lahuta_bitmask,Lahuta bitmask,lahuta,sr,f64,bitmask,1,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/nix_full_20260524/batch/ecoli/hyperfine/lahuta_bitmask_1t_128p.json,batch-ecoli-full-rerun,nix_full_20260524,,imported,4370,,,,,,13.437198419060001,0.043178114425486996,13.40737339106,13.41751035006,13.48671151606,13.48671151606,13.40737339106,13.41751035006,80.03125,0.0,80.03125,80.03125,80.03125,11.817796019999998,0.3799397199999999,,,,4370,structures,325.2166012374552,3.0748737801052637,,,4.06362016384169,0.9077588467174907
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_lahuta_bitmask_1t_128p_b7603ab0c086,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,"batch-throughput,thread-scaling,thread-overcommit",lahuta_bitmask,Lahuta bitmask,lahuta,sr,f64,bitmask,1,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/lahuta_bitmask_1t_128p.json,batch-ecoli-full-rerun,v0_6_0_full,,imported,4370,,,,,,13.35882952386,0.05650646884663937,13.31889741286,13.33410720386,13.42348395486,13.33410720386,13.31889741286,13.42348395486,78.92708333333333,0.018042195912175808,78.90625,78.9375,78.9375,11.765916593333332,0.37836011999999997,,,,4370,structures,327.1244679180021,3.0569403944759728,,,4.144641536244978,0.9090823931574712
